iter	Passed	Remaining
0	47	47363
1	48	24092
2	49	16305
3	49	12432
4	50	10121
5	51	8565
6	52	7447
7	53	6607
8	54	5959
9	54	5441
10	55	5015
11	56	4658
12	57	4362
13	58	4103
14	59	3879
15	59	3683
16	60	3510
17	61	3357
18	62	3219
19	63	3095
20	63	2981
21	64	2878
22	65	2785
23	66	2699
24	67	2621
25	68	2548
26	68	2480
27	69	2416
28	70	2358
29	71	2302
30	72	2251
31	72	2203
32	73	2158
33	74	2114
34	75	2074
35	76	2037
36	76	2000
37	77	1965
38	78	1931
39	79	1899
40	79	1869
41	80	1842
42	81	1815
43	82	1789
44	83	1765
45	84	1742
46	84	1718
47	85	1696
48	86	1675
49	87	1655
50	87	1635
51	88	1616
52	89	1598
53	90	1580
54	91	1564
55	91	1547
56	92	1531
57	93	1515
58	94	1501
59	94	1486
60	95	1472
61	96	1459
62	97	1446
63	98	1433
64	98	1421
65	99	1409
66	100	1398
67	101	1387
68	102	1376
69	102	1366
70	103	1356
71	104	1345
72	105	1334
73	105	1325
74	106	1315
75	107	1306
76	108	1297
77	109	1288
78	109	1280
79	110	1272
80	111	1263
81	112	1255
82	112	1247
83	113	1240
84	114	1232
85	115	1226
86	116	1219
87	116	1212
88	117	1204
89	118	1198
90	119	1191
91	120	1185
92	120	1178
93	121	1172
94	122	1166
95	123	1160
96	124	1154
97	124	1149
98	125	1143
99	126	1137
100	127	1131
101	127	1126
102	128	1121
103	129	1116
104	130	1111
105	131	1105
106	131	1100
107	132	1096
108	133	1091
109	134	1086
110	135	1081
111	135	1077
112	136	1072
113	137	1068
114	138	1063
115	138	1058
116	139	1055
117	140	1051
118	141	1046
119	142	1042
120	142	1038
121	143	1034
122	144	1030
123	145	1026
124	146	1022
125	146	1018
126	147	1015
127	148	1011
128	149	1008
129	150	1004
130	150	1000
131	151	997
132	152	993
133	153	989
134	153	985
135	154	982
136	155	978
137	156	975
138	156	972
139	157	968
140	158	964
141	159	961
142	159	958
143	160	955
144	161	952
145	162	949
146	163	946
147	163	943
148	164	940
149	165	937
150	166	935
151	167	932
152	167	929
153	169	929
154	169	926
155	170	923
156	171	920
157	172	918
158	173	915
159	173	912
160	174	909
161	175	907
162	176	904
163	176	901
164	177	898
165	178	896
166	179	893
167	179	890
168	180	887
169	181	885
170	182	882
171	182	879
172	183	877
173	184	874
174	185	872
175	185	870
176	186	867
177	187	865
178	188	862
179	188	860
180	189	858
181	190	855
182	191	853
183	191	850
184	192	849
185	193	846
186	194	844
187	194	841
188	195	839
189	196	837
190	197	835
191	198	833
192	198	830
193	199	828
194	200	826
195	200	824
196	201	821
197	202	819
198	203	817
199	203	815
200	204	813
201	205	811
202	206	809
203	206	807
204	207	804
205	208	803
206	209	801
207	209	799
208	210	797
209	211	795
210	212	793
211	212	791
212	213	789
213	214	787
214	215	786
215	216	784
216	216	782
217	217	780
218	218	778
219	219	776
220	219	775
221	220	773
222	221	771
223	222	769
224	223	768
225	223	766
226	224	764
227	225	762
228	226	760
229	226	759
230	227	757
231	228	755
232	229	754
233	229	752
234	230	751
235	231	749
236	232	747
237	233	746
238	233	744
239	234	742
240	235	740
241	236	739
242	236	738
243	237	736
244	238	734
245	239	734
246	240	733
247	241	731
248	242	729
249	242	728
250	243	727
251	244	725
252	245	724
253	245	722
254	246	720
255	247	719
256	248	718
257	249	717
258	250	715
259	250	713
260	251	712
261	252	710
262	253	709
263	253	707
264	254	706
265	255	705
266	256	703
267	257	702
268	257	700
269	258	699
270	259	697
271	260	696
272	260	694
273	261	692
274	262	691
275	262	689
276	263	687
277	264	686
278	265	685
279	265	683
280	267	683
281	268	682
282	268	681
283	269	679
284	270	678
285	271	677
286	272	677
287	273	675
288	274	674
289	274	673
290	275	671
291	276	670
292	277	668
293	277	667
294	278	665
295	279	664
296	280	663
297	280	661
298	281	660
299	282	658
300	283	657
301	283	655
302	284	654
303	285	652
304	286	651
305	286	650
306	287	648
307	288	647
308	288	645
309	289	644
310	290	643
311	291	641
312	291	640
313	292	638
314	293	637
315	294	636
316	294	635
317	295	634
318	296	632
319	297	631
320	298	630
321	298	629
322	299	627
323	300	626
324	301	625
325	301	623
326	302	622
327	303	621
328	303	619
329	304	618
330	305	617
331	306	615
332	306	614
333	307	613
334	308	612
335	309	611
336	310	609
337	310	608
338	311	607
339	312	606
340	313	605
341	314	604
342	314	603
343	315	602
344	316	601
345	317	600
346	318	599
347	319	598
348	320	596
349	320	595
350	321	594
351	322	593
352	322	591
353	323	590
354	324	589
355	325	588
356	325	587
357	326	585
358	327	584
359	328	583
360	328	582
361	329	580
362	330	579
363	331	578
364	331	577
365	332	576
366	333	574
367	334	573
368	334	572
369	335	571
370	336	570
371	336	568
372	337	567
373	338	566
374	339	565
375	339	564
376	340	562
377	341	561
378	342	560
379	342	559
380	343	558
381	344	557
382	345	556
383	345	554
384	346	553
385	347	552
386	348	551
387	349	550
388	349	549
389	350	548
390	351	547
391	352	546
392	352	545
393	353	544
394	354	543
395	355	541
396	356	540
397	356	539
398	358	539
399	358	538
400	359	537
401	360	536
402	361	534
403	361	533
404	362	532
405	363	531
406	364	530
407	364	529
408	365	528
409	366	527
410	367	526
411	368	525
412	368	524
413	369	523
414	370	522
415	371	521
416	372	520
417	372	518
418	373	517
419	374	516
420	374	515
421	375	514
422	376	513
423	377	512
424	378	511
425	378	510
426	379	509
427	380	508
428	381	507
429	382	506
430	383	506
431	384	504
432	384	503
433	385	502
434	386	501
435	387	500
436	388	499
437	388	498
438	389	497
439	390	496
440	391	495
441	391	494
442	392	493
443	393	492
444	394	491
445	395	490
446	396	489
447	396	488
448	397	488
449	398	487
450	399	485
451	399	484
452	400	483
453	401	482
454	402	481
455	402	480
456	403	479
457	404	478
458	405	477
459	406	476
460	406	475
461	407	474
462	408	473
463	409	472
464	410	471
465	410	470
466	411	469
467	412	469
468	413	468
469	414	466
470	415	466
471	415	465
472	416	464
473	417	463
474	418	462
475	418	461
476	419	460
477	420	459
478	421	458
479	422	457
480	423	456
481	423	455
482	424	454
483	425	453
484	426	452
485	427	451
486	427	450
487	428	449
488	429	448
489	430	447
490	431	446
491	431	446
492	432	445
493	433	444
494	434	443
495	435	442
496	435	441
497	436	440
498	437	439
499	438	438
500	439	437
501	440	436
502	441	435
503	441	434
504	442	433
505	443	433
506	444	432
507	445	431
508	445	430
509	446	429
510	447	428
511	448	427
512	448	426
513	449	425
514	450	424
515	451	423
516	452	422
517	453	421
518	453	420
519	454	419
520	455	418
521	456	417
522	456	416
523	457	415
524	458	414
525	459	413
526	460	413
527	460	411
528	461	410
529	462	410
530	463	408
531	463	408
532	464	407
533	465	406
534	466	405
535	466	404
536	467	403
537	468	402
538	469	401
539	470	400
540	470	399
541	471	398
542	472	397
543	473	396
544	473	395
545	474	394
546	475	393
547	476	392
548	476	391
549	477	390
550	478	389
551	479	388
552	479	387
553	480	386
554	481	385
555	481	384
556	482	383
557	483	382
558	484	382
559	484	381
560	485	380
561	486	379
562	487	378
563	488	377
564	488	376
565	489	375
566	490	374
567	491	373
568	491	372
569	492	371
570	493	370
571	494	369
572	495	368
573	495	368
574	496	367
575	497	366
576	498	365
577	498	364
578	499	363
579	500	362
580	501	361
581	501	360
582	502	359
583	503	358
584	504	357
585	504	356
586	505	355
587	506	354
588	507	354
589	508	353
590	508	352
591	509	351
592	510	350
593	511	349
594	511	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	516	342
601	517	342
602	518	341
603	519	340
604	519	339
605	520	338
606	521	337
607	522	336
608	523	335
609	523	334
610	524	334
611	525	333
612	526	332
613	527	331
614	527	330
615	528	329
616	529	328
617	530	327
618	531	326
619	531	325
620	532	325
621	533	324
622	534	323
623	535	322
624	535	321
625	536	320
626	537	319
627	538	318
628	538	317
629	539	316
630	540	315
631	540	314
632	541	314
633	542	313
634	543	312
635	543	311
636	544	310
637	545	309
638	546	308
639	547	307
640	547	306
641	548	305
642	549	305
643	550	304
644	550	303
645	551	302
646	552	301
647	553	300
648	554	299
649	554	298
650	555	297
651	556	297
652	557	296
653	558	295
654	558	294
655	559	293
656	560	292
657	561	291
658	562	290
659	562	289
660	563	289
661	564	288
662	565	287
663	566	286
664	566	285
665	567	284
666	568	283
667	569	282
668	570	282
669	570	281
670	571	280
671	572	279
672	573	278
673	574	277
674	575	276
675	575	276
676	576	275
677	577	274
678	578	273
679	579	272
680	580	271
681	580	270
682	581	269
683	582	268
684	583	268
685	583	267
686	584	266
687	585	265
688	586	264
689	586	263
690	587	262
691	588	261
692	589	261
693	590	260
694	591	259
695	591	258
696	592	257
697	593	256
698	594	255
699	594	254
700	595	254
701	596	253
